,# Hidden Layers,Solver,activation,max_iter,RandState,test_score,train_score,Time,Early_stopping
0,100,lbfgs,relu,50000,1,-0.5304905538980564,0.9658528196453908,15.840933799743652,
1,100,adam,relu,20000,100,0.7001194411681626,0.8468207005216315,2.191906690597534,
2,100,adam,relu,20000,1,0.7430983843752013,0.8402634668023048,2.1845433712005615,
3,100,adam,tanh,2000,1,0.7489452001277805,0.8135334164126127,2.605490207672119,
4,100,adam,tanh,5000,10,0.7367475314299108,0.8210632166297759,2.9474287033081055,
5,100,adam,logistic,5000,100,0.7432196393097339,0.7656157246288795,2.01357102394104,
6,100,adam,identity,5000,100,0.7149685418486253,0.6894655864477375,0.1434025764465332,
7,100,adam,identity,5000,100,0.7149685418486253,0.6894655864477375,0.10746955871582031,
8,100,lbfgs,tanh,5000,100,-2.5574273646626917,0.9772556976891821,26.649332284927368,
9,100,lbfgs,tanh,20000,100,-3.234296443509117,0.9852610742978325,79.19473385810852,
10,100,sgd,relu,5000,5,0.7819409485365061,0.7567908362320594,0.6637296676635742,
11,100,sgd,relu,5000,100,0.7818372497526159,0.7638404533152483,0.986793041229248,
12,100,sgd,relu,10000,1,0.8018264959391939,0.7699963590416132,0.8731980323791504,
13,200,sgd,relu,10000,1,0.7721037300554774,0.755158663550354,1.1807630062103271,
14,50,sgd,relu,10000,1,0.755209042181405,0.7544946701745521,0.47351813316345215,
15,100,sgd,tanh,10000,1,0.725083028152701,0.7041571855875999,0.6318321228027344,
16,100,sgd,tanh,10000,100,0.7156672209474899,0.7075069219802603,0.8396446704864502,
17,100,sgd,relu,5000,1,0.8018264959391939,0.7699963590416132,0.905874490737915,
18,100,sgd,logistic,10000,1,0.7268712693893542,0.6905564077890157,0.7882213592529297,
19,100,sgd,identity,10000,1,0.7334413764957881,0.687523472584441,0.19115972518920898,
20,100,sgd,relu,10000,1,0.8018264959391939,0.7699963590416132,1.0493454933166504,
21,1000,sgd,relu,10000,1,0.7898540919610906,0.7636056184440483,4.300274610519409,
22,100,sgd,relu,10000,1,0.8018264959391939,0.7699963590416132,1.0885331630706787,
23,100,sgd,relu,1000,1,0.8018264959391939,0.7699963590416132,0.9391436576843262,
24,100,sgd,relu,2000,1,0.8018264959391939,0.7699963590416132,1.1734840869903564,True
25,120,sgd,relu,2000,0,0.7860395928350414,0.7611651216279194,0.9584593772888184,
26,120,sgd,relu,2000,1,0.7860866042554054,0.752750933087412,0.5657660961151123,
27,95,sgd,relu,2000,1,0.7835701131150513,0.7585359660517121,0.5832200050354004,
28,100,sgd,relu,2000,1,0.8018264959391939,0.7699963590416132,1.0279293060302734,
29,102,sgd,relu,2000,1,0.7940047489213606,0.7622432334462486,0.9297947883605957,
30,99,sgd,relu,2000,1,0.7921066651682874,0.7634097103376728,0.9462776184082031,
31,101,sgd,relu,2000,1,0.7941374881907632,0.7664169605669043,1.1397504806518555,
32,100,sgd,relu,2000,1,0.8018264959391939,0.7699963590416132,1.0602307319641113,
33,100,sgd,relu,2000,0,0.7920661343070327,0.7600714670472548,0.6807675361633301,
34,100,sgd,relu,2000,2,0.7975666838482971,0.7678900459385484,0.7618932723999023,
35,100,sgd,relu,2000,500,0.795655004065011,0.7637087593554938,0.8405265808105469,
36,100,sgd,relu,2000,1,0.8018264959391939,0.7699963590416132,1.001220464706421,
37,100,sgd,relu,100000,1,0.8018264959391939,0.7699963590416132,0.8927805423736572,
38,100,sgd,relu,1000,1,0.8018264959391939,0.7699963590416132,0.9014759063720703,
39,"(100, 100)",sgd,relu,10000,1,0.7982094199109023,0.7750706886689137,1.6755945682525635,
40,"(100, 100, 100)",sgd,relu,10000,1,0.8015769264535588,0.7878663637895187,2.4981508255004883,
